entry_id,employee_id,project_id,job_id,date,hours_regular,hours_overtime,cost,notes
TE-65D1FA0D,EMP-005,PROJ-30C2FC8F,JOB-10476A34,2024-02-12,7.0,0.0,157.08,Labor work
TE-17AEB3AD,EMP-004,PROJ-30C2FC8F,JOB-10476A34,2024-02-12,5.0,0.0,165.0,Labor work
TE-665358F0,EMP-004,PROJ-30C2FC8F,JOB-10476A34,2024-02-13,8.0,0.5,288.75,Labor work
TE-733AE26A,EMP-005,PROJ-30C2FC8F,JOB-10476A34,2024-02-14,8.0,2.0,246.84,Labor work
TE-2F912603,EMP-005,PROJ-30C2FC8F,JOB-10476A34,2024-02-15,8.0,2.0,246.84,Labor work
TE-D5547C98,EMP-004,PROJ-30C2FC8F,JOB-10476A34,2024-02-16,3.5,0.0,115.5,Labor work
TE-B017A976,EMP-005,PROJ-30C2FC8F,JOB-10476A34,2024-02-16,6.0,0.0,134.64,Labor work
TE-D8B40651,EMP-004,PROJ-0B34E038,JOB-80A1D221,2024-02-19,8.0,2.0,363.0,Demo & Prep work
TE-74FA3536,EMP-003,PROJ-0B34E038,JOB-80A1D221,2024-02-19,8.0,2.0,377.52,Demo & Prep work
TE-B0429C33,EMP-002,PROJ-0B34E038,JOB-80A1D221,2024-02-20,8.0,2.0,464.64,Demo & Prep work
TE-E857548E,EMP-002,PROJ-0B34E038,JOB-85651125,2024-02-20,8.0,2.0,464.64,Foundation work
TE-006120CA,EMP-005,PROJ-0B34E038,JOB-85651125,2024-02-21,8.0,2.0,246.84,Foundation work
TE-1FAC884E,EMP-002,PROJ-0B34E038,JOB-85651125,2024-02-22,4.5,0.0,190.08,Foundation work
TE-27D170D6,EMP-005,PROJ-0B34E038,JOB-85651125,2024-02-22,8.0,0.5,196.35,Foundation work
TE-1E6F0281,EMP-004,PROJ-0B34E038,JOB-85651125,2024-02-22,6.0,0.0,198.0,Foundation work
TE-C58AFD73,EMP-003,PROJ-0B34E038,JOB-85651125,2024-02-23,4.0,0.0,137.28,Foundation work
TE-E6CB86BD,EMP-004,PROJ-0B34E038,JOB-85651125,2024-02-23,4.5,0.0,148.5,Foundation work
TE-AF2ECBE6,EMP-002,PROJ-0B34E038,JOB-85651125,2024-02-23,5.0,0.0,211.2,Foundation work
TE-29BCD05C,EMP-002,PROJ-0B34E038,JOB-85651125,2024-02-26,7.5,0.0,316.8,Foundation work
TE-74CBC2EE,EMP-003,PROJ-0B34E038,JOB-85651125,2024-02-26,8.0,0.5,300.3,Foundation work
TE-BA5E6708,EMP-004,PROJ-0B34E038,JOB-85651125,2024-02-27,8.0,2.0,363.0,Foundation work
TE-6635ABF5,EMP-003,PROJ-0B34E038,JOB-85651125,2024-02-28,8.0,1.5,351.78,Foundation work
TE-2851E385,EMP-004,PROJ-0B34E038,JOB-85651125,2024-02-28,7.5,0.0,247.5,Foundation work
TE-89D6B81F,EMP-004,PROJ-0B34E038,JOB-85651125,2024-02-29,7.5,0.0,247.5,Foundation work
TE-A50B4818,EMP-005,PROJ-0B34E038,JOB-85651125,2024-02-29,8.0,2.0,246.84,Foundation work
TE-84AFA6EC,EMP-003,PROJ-0B34E038,JOB-C0C11B60,2024-02-29,5.5,0.0,188.76,Framing work
TE-14F9640C,EMP-005,PROJ-0B34E038,JOB-C0C11B60,2024-02-29,8.0,2.0,246.84,Framing work
TE-10E8C12C,EMP-002,PROJ-0B34E038,JOB-C0C11B60,2024-02-29,6.5,0.0,274.56,Framing work
