line_id,estimate_id,cost_code,description,quantity,unit,unit_cost,unit_price,line_total,category
ELI-74BF9B68,EST-4F32A47F,01-LABOR,Labor — Labor,1,ls,1514.88,2895.16,2895.16,labor
ELI-46DE18CA,EST-4F32A47F,02-MATERIALS,Materials — Materials,1,ls,1009.92,1930.11,1930.11,material
ELI-872314BC,EST-FB854CDC,01-DEMO,Demo & Prep — Labor,1,ls,2236.09,3216.3,3216.3,labor
ELI-C7A28D98,EST-FB854CDC,02-FOUNDATION,Foundation — Labor,1,ls,4472.19,6432.6,6432.6,labor
ELI-EC6EDAF6,EST-FB854CDC,02-FOUNDATION,Foundation — Materials,1,ls,5590.23,8040.75,8040.75,material
ELI-33290F37,EST-FB854CDC,03-FRAMING,Framing — Labor,1,ls,7826.33,11257.05,11257.05,labor
ELI-23C3A0B8,EST-FB854CDC,03-FRAMING,Framing — Materials,1,ls,8944.37,12865.2,12865.2,material
ELI-3B0129DE,EST-FB854CDC,04-ROOFING,Roofing & Sheathing — Labor,1,ls,3354.14,4824.45,4824.45,labor
ELI-AC662359,EST-FB854CDC,04-ROOFING,Roofing & Sheathing — Materials,1,ls,3354.14,4824.45,4824.45,material
ELI-663540DF,EST-FB854CDC,05-WINDOWS-DOORS,Windows & Exterior Doors — Labor,1,ls,2236.09,3216.3,3216.3,labor
ELI-D016733B,EST-FB854CDC,05-WINDOWS-DOORS,Windows & Exterior Doors — Materials,1,ls,4472.19,6432.6,6432.6,material
ELI-F8245021,EST-FB854CDC,06-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,1118.05,1608.15,1608.15,material
ELI-E40DC6A1,EST-FB854CDC,06-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,3913.16,5628.53,5628.53,subcontractor
ELI-608915A2,EST-FB854CDC,07-ROUGH-ELEC,Rough Electrical — Materials,1,ls,1677.07,2412.23,2412.23,material
ELI-7A8B0387,EST-FB854CDC,07-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,4472.19,6432.6,6432.6,subcontractor
ELI-B4EE9E7A,EST-FB854CDC,08-HVAC,HVAC — Subcontractor,1,ls,5031.21,7236.68,7236.68,subcontractor
ELI-174AFC53,EST-FB854CDC,09-INSULATION,Insulation — Labor,1,ls,1677.07,2412.23,2412.23,labor
ELI-C09798E4,EST-FB854CDC,09-INSULATION,Insulation — Materials,1,ls,1677.07,2412.23,2412.23,material
ELI-2E3A181E,EST-FB854CDC,10-DRYWALL,Drywall — Labor,1,ls,3913.16,5628.53,5628.53,labor
ELI-7405DB1D,EST-FB854CDC,10-DRYWALL,Drywall — Materials,1,ls,2236.09,3216.3,3216.3,material
ELI-20205C22,EST-FB854CDC,11-PAINT,Paint — Labor,1,ls,2795.12,4020.38,4020.38,labor
ELI-C055236B,EST-FB854CDC,11-PAINT,Paint — Materials,1,ls,1118.05,1608.15,1608.15,material
ELI-D365C16E,EST-FB854CDC,12-TRIM,Trim & Finish Carpentry — Labor,1,ls,3354.14,4824.45,4824.45,labor
ELI-C935486F,EST-FB854CDC,12-TRIM,Trim & Finish Carpentry — Materials,1,ls,2236.09,3216.3,3216.3,material
ELI-5BEEC532,EST-FB854CDC,13-FLOORING,Flooring — Labor,1,ls,2236.09,3216.3,3216.3,labor
ELI-37C86D54,EST-FB854CDC,13-FLOORING,Flooring — Materials,1,ls,3354.14,4824.45,4824.45,material
ELI-A0A7CD79,EST-FB854CDC,14-CLEANUP,Cleanup & Punch — Labor,1,ls,1118.05,1608.15,1608.15,labor
ELI-C2F32754,EST-264E571D,01-DEMO,Demolition — Labor,1,ls,1732.88,2530.87,2530.87,labor
ELI-4E9B5D89,EST-264E571D,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,866.44,1265.44,1265.44,material
ELI-DAB6A553,EST-264E571D,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,3119.18,4555.57,4555.57,subcontractor
ELI-808536EC,EST-264E571D,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,346.58,506.17,506.17,material
ELI-E0B67BA3,EST-264E571D,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,1386.3,2024.7,2024.7,subcontractor
ELI-FD5E6307,EST-264E571D,04-BACKER,Cement Board & Waterproofing — Labor,1,ls,1039.73,1518.52,1518.52,labor
ELI-732DD479,EST-264E571D,04-BACKER,Cement Board & Waterproofing — Materials,1,ls,693.15,1012.35,1012.35,material
ELI-BC95BFFD,EST-264E571D,05-TILE,Tile & Shower — Materials,1,ls,1386.3,2024.7,2024.7,material
ELI-8E0E4979,EST-264E571D,05-TILE,Tile & Shower — Subcontractor,1,ls,3465.75,5061.74,5061.74,subcontractor
ELI-CF17D081,EST-264E571D,06-VANITY,Vanity & Fixtures — Labor,1,ls,866.44,1265.44,1265.44,labor
ELI-4525C4DD,EST-264E571D,06-VANITY,Vanity & Fixtures — Materials,1,ls,2079.45,3037.04,3037.04,material
ELI-99FD2E13,EST-264E571D,07-PAINT,Paint — Labor,1,ls,693.15,1012.35,1012.35,labor
ELI-62E94647,EST-264E571D,07-PAINT,Paint — Materials,1,ls,346.58,506.17,506.17,material
ELI-FFC98265,EST-264E571D,08-CLEANUP,Final Cleanup & Punch — Labor,1,ls,346.58,506.17,506.17,labor
ELI-E0C44093,EST-C4827EA8,01-DEMO,Demolition — Labor,1,ls,1522.24,2400.38,2400.38,labor
ELI-72E05AAF,EST-C4827EA8,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,761.12,1200.19,1200.19,material
ELI-32A44001,EST-C4827EA8,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,2740.02,4320.68,4320.68,subcontractor
ELI-BB330014,EST-C4827EA8,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,304.45,480.08,480.08,material
ELI-88D7F29D,EST-C4827EA8,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,1217.79,1920.3,1920.3,subcontractor
ELI-4A4147FC,EST-C4827EA8,04-BACKER,Cement Board & Waterproofing — Labor,1,ls,913.34,1440.23,1440.23,labor
ELI-11B374E4,EST-C4827EA8,04-BACKER,Cement Board & Waterproofing — Materials,1,ls,608.89,960.15,960.15,material
ELI-0E6EB190,EST-C4827EA8,05-TILE,Tile & Shower — Materials,1,ls,1217.79,1920.3,1920.3,material
ELI-EA22C489,EST-C4827EA8,05-TILE,Tile & Shower — Subcontractor,1,ls,3044.47,4800.76,4800.76,subcontractor
ELI-BD2C2CB1,EST-C4827EA8,06-VANITY,Vanity & Fixtures — Labor,1,ls,761.12,1200.19,1200.19,labor
ELI-BD1ABDF2,EST-C4827EA8,06-VANITY,Vanity & Fixtures — Materials,1,ls,1826.68,2880.46,2880.46,material
ELI-1A1DF257,EST-C4827EA8,07-PAINT,Paint — Labor,1,ls,608.89,960.15,960.15,labor
ELI-08F0CDE6,EST-C4827EA8,07-PAINT,Paint — Materials,1,ls,304.45,480.08,480.08,material
ELI-17DF9466,EST-C4827EA8,08-CLEANUP,Final Cleanup & Punch — Labor,1,ls,304.45,480.08,480.08,labor
ELI-1C5A38DD,EST-389AD75B,01-DEMO,Demolition — Labor,1,ls,1832.62,2919.07,2919.07,labor
ELI-FF529A9E,EST-389AD75B,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,916.31,1459.53,1459.53,material
ELI-08A92614,EST-389AD75B,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,3298.71,5254.32,5254.32,subcontractor
ELI-68DB5336,EST-389AD75B,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,366.52,583.81,583.81,material
ELI-B63BB9F5,EST-389AD75B,03-ROUGH-ELEC,Rough Electrical — Subcontractor,1,ls,1466.1,2335.25,2335.25,subcontractor
ELI-05618D41,EST-389AD75B,04-BACKER,Cement Board & Waterproofing — Labor,1,ls,1099.57,1751.44,1751.44,labor
ELI-1A3D087C,EST-389AD75B,04-BACKER,Cement Board & Waterproofing — Materials,1,ls,733.05,1167.63,1167.63,material
ELI-4E71731F,EST-389AD75B,05-TILE,Tile & Shower — Materials,1,ls,1466.1,2335.25,2335.25,material
ELI-5766B02E,EST-389AD75B,05-TILE,Tile & Shower — Subcontractor,1,ls,3665.24,5838.13,5838.13,subcontractor
ELI-F13BCA4A,EST-389AD75B,06-VANITY,Vanity & Fixtures — Labor,1,ls,916.31,1459.53,1459.53,labor
ELI-5876B068,EST-389AD75B,06-VANITY,Vanity & Fixtures — Materials,1,ls,2199.14,3502.88,3502.88,material
ELI-E40CEEE0,EST-389AD75B,07-PAINT,Paint — Labor,1,ls,733.05,1167.63,1167.63,labor
ELI-43A61198,EST-389AD75B,07-PAINT,Paint — Materials,1,ls,366.52,583.81,583.81,material
ELI-78202BB8,EST-389AD75B,08-CLEANUP,Final Cleanup & Punch — Labor,1,ls,366.52,583.81,583.81,labor
ELI-C319A11D,EST-CC815282,01-DEMO,Demolition — Labor,1,ls,6224.42,9887.12,9887.12,labor
ELI-23F02F8C,EST-CC815282,02-ROUGH-PLUMB,Rough Plumbing — Materials,1,ls,3112.21,4943.56,4943.56,material
ELI-C046CF2A,EST-CC815282,02-ROUGH-PLUMB,Rough Plumbing — Subcontractor,1,ls,9336.63,14830.68,14830.68,subcontractor
ELI-B7E74893,EST-CC815282,03-ROUGH-ELEC,Rough Electrical — Materials,1,ls,2334.16,3707.67,3707.67,material
